"source_id","path","source_type","author","status","notes"
"SRC-MISC-001","完整副本/electric-power/00-outline.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-002","完整副本/electric-power/01-industry-library.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-003","完整副本/electric-power/bibi-raw.json","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-004","完整副本/electric-power/electric-power.md","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-005","完整副本/electric-power/raw-meta.json","未分类素材","待补","候选","脚本生成，待人工确认"
"SRC-MISC-006","完整副本/electric-power/summary-chapter.json","未分类素材","待补","候选","脚本生成，待人工确认"
